panelist,count
Negin Farsad,9
Joyelle Nicole Johnson,8
Adam Burke,8
Peter Grosz,6
Josh Gondelman,6
Tom Papa,5
Helen Hong,5
Hari Kondabolu,5
Paula Poundstone,5
Brian Babylon,4
Dulcé Sloan,4
Faith Salie,4
Maz Jobrani,4
Karen Chee,4
Mo Rocca,4
Adam Felber,4
Alonzo Bodden,4
Shantira Jackson,4
